NORAD_CAT_ID,EPOCH_UNIX,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,APOAPSIS,PERIAPSIS,BSTAR,ORBITAL_PERIOD,SEMI_MAJOR_AXIS,ORBITAL_VELOCITY,PERIGEE_ALTITUDE,APOGEE_ALTITUDE
16268,1754676117,12.56482175,0.0081103,82.7102,33.8377,120.8067,271.319,1500.887,1374.113,0.0012025,6876.341082992283,7815.6353176231605,7.090239920723767,-4996.887,-4870.113
16269,1754596195,12.62269779,0.0012722,82.6267,149.9511,103.6734,312.9652,1423.504,1403.679,3.1681e-05,6844.812530364795,7791.726831311164,7.149855013567382,-4967.321,-4947.496
16270,1754690558,12.69052307,0.0265209,82.7326,183.3054,44.3129,9.9086,1591.711,1179.898,0.00094348,6808.230009387627,7763.939801139471,6.9840386976578515,-5191.102,-4779.289
16271,1754693339,12.6302199,0.0006505,82.6072,113.1184,115.4935,260.4043,1415.564,1405.431,0.00014906,6840.736003337519,7788.632873802153,7.155724830808047,-4965.5689999999995,-4955.436
16272,1754724110,12.75096284,0.00393,82.6208,339.2177,316.1266,71.659,1391.667,1330.835,0.00083932,6775.958889077901,7739.386244714325,7.154993231313512,-5040.165,-4979.3330000000005
16375,1754691475,13.80454107,0.0035711,65.8334,169.082,291.7945,127.957,988.492,936.065,4.8074e-05,6258.810022142952,7340.413510363756,7.349873194159782,-5434.9349999999995,-5382.508
16376,1754718064,13.96019642,0.0028806,65.8277,24.6123,230.5122,307.9366,928.6,886.626,0.00043988,6189.024667032586,7285.74816213035,7.382545259752225,-5484.374,-5442.4
16377,1754722481,14.05813556,0.0042909,65.8219,93.6804,205.0774,261.7098,904.852,842.618,0.00051774,6145.907444927213,7251.870221908822,7.389374345150331,-5528.382,-5466.148
16378,1754682031,13.81573532,0.0040113,65.8325,152.578,308.8866,86.4607,987.742,928.884,0.00011408,6253.738798464475,7336.447910149519,7.348627355427321,-5442.116,-5383.258
16379,1754660752,13.78109654,0.002755,65.8368,283.4941,257.0103,220.041,990.847,950.355,6.6135e-05,6269.4575681421065,7348.736204999497,7.351699353191355,-5420.645,-5380.153
16380,1754680366,13.63989731,0.0060533,65.8361,51.6645,265.2942,112.8668,1066.02,976.439,3.5999e-05,6334.358539243284,7399.3648278845285,7.302331343842218,-5394.561,-5304.98
16381,1754694844,13.63650838,0.0070598,65.8362,71.4517,299.4539,129.077,1074.702,970.209,6.6696e-05,6335.932747030659,7400.590698428597,7.294379621506213,-5400.791,-5296.298
16382,1754688424,14.42405659,0.0015788,65.7384,84.7366,25.8132,345.5967,761.818,739.308,0.0013963,5989.993138261807,7128.698212342412,7.4733063828326785,-5631.692,-5609.182
16383,1754689021,13.75995627,0.0044892,65.8312,332.7172,166.5308,337.2624,1011.15,945.102,0.00040269,6279.0897227175565,7356.261156947761,7.335199030425165,-5425.898,-5359.85
16384,1754690360,13.70224735,0.0046784,65.8328,140.8555,219.1386,212.9785,1033.278,964.254,0.00014562,6305.534982186699,7376.901296888034,7.323524978203328,-5406.746,-5337.722
16385,1754679507,13.86912912,0.0014025,65.8267,232.2743,69.632,111.2756,949.734,929.208,0.00048706,6229.662962428314,7317.606419180089,7.377322086563581,-5441.792,-5421.266
16386,1754691377,13.69735389,0.003801,65.8358,64.5568,152.1267,323.7781,1028.569,972.477,4.52e-05,6307.78767153544,7378.658153122065,7.329079198915983,-5398.523,-5342.4310000000005
16387,1754736838,13.84922739,0.0058917,65.8343,226.1843,225.2935,286.0714,989.635,903.326,2.4234e-05,6238.615163643436,7324.615145638977,7.340755503518948,-5467.674,-5381.365
