NORAD_CAT_ID,EPOCH_UNIX,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,APOAPSIS,PERIAPSIS,BSTAR
37085,1754703886,15.22746514,0.0031622,73.9571,125.0072,333.3941,26.5633,519.305,475.82,0.0017575
37089,1754627050,14.49285334,0.0145292,74.0402,23.8443,154.6435,206.1951,831.232,624.739,0.0022656
37094,1754322499,14.36966182,0.0086027,74.1112,359.4429,0.5603,359.5631,830.023,707.061,0.00055521
37095,1754338012,14.02605045,0.0200781,73.8465,58.5661,139.0421,222.5995,1030.616,738.965,0.0015563
37108,1754743812,14.39895355,0.0096272,74.0459,312.0326,58.2606,302.7886,827.555,690.137,0.0008974
37126,1754553765,14.72492351,0.0122342,73.9506,243.9715,152.0635,208.7178,739.147,567.103,0.00012977
37132,1754182302,14.75398249,0.0042581,74.0041,132.5387,320.2856,39.5201,673.79,613.989,0.00084922
37148,1754672859,14.21272632,0.003665,101.7142,305.0713,221.2307,291.7099,847.439,794.669,0.0020784
37187,1754656888,5.38748488,0.51241,49.5714,46.3319,351.7534,2.3026,14409.927,323.785,0.00049602
37198,1754535545,3.12638444,0.6539375,49.2027,293.3302,285.9733,15.1125,26297.649,458.8,0.00021113
37199,1754666690,3.06742171,0.6429726,48.7377,138.1679,109.2486,353.7474,26495.66,765.53,-0.011103
37200,1754619628,3.02146916,0.6181361,48.8546,293.0198,350.3198,13.348,26326.159,1339.751,0.0
37201,1754508027,3.06047376,0.64091666,48.6536,157.7684,94.6422,350.3658,26504.196,817.536,0.017890212
37202,1754582687,3.07231754,0.6446658,48.8082,115.8415,127.4645,310.342,26494.57,724.096,0.013007
37204,1754582992,3.06527018,0.6433656,48.7212,138.3876,108.8017,354.8637,26518.908,761.005,-0.014322
37205,1754456837,3.05954272,0.6412843,48.6939,159.657,90.4253,337.9008,26518.235,811.628,0.0
37220,1754644775,4.90222413,0.543217,49.4071,227.6623,282.5901,24.323,16211.024,308.121,0.00077774
37236,1754646700,13.80151635,0.0035671,82.9688,26.7104,100.8983,285.6444,989.539,937.163,0.00056325
37241,1754731710,14.27942853,0.0022134,98.9438,25.1369,32.7922,327.4627,814.502,782.732,0.00021553
37242,1754716648,14.28901685,0.001176,98.4913,199.4874,310.8704,49.1459,803.842,786.97,0.0013104
37260,1754562796,5.6512098,0.4964658,49.5869,304.1219,167.7673,211.2364,13545.765,325.904,0.00092211
37270,1754686253,13.5870628,0.0405103,73.9324,181.0889,218.4133,138.7495,1340.927,739.872,0.0016214
37280,1754734418,14.18141859,0.0133579,74.0302,280.8513,76.5015,285.0972,927.953,735.338,0.00089131
37284,1754672275,14.11604756,0.0162423,74.0152,19.6,199.5491,178.2556,971.352,736.423,0.0016691
37295,1754601662,14.64180563,0.0045978,74.0057,165.9456,13.7238,346.5167,712.16,647.259,0.00061227
37305,1754318559,14.35478786,0.0047891,73.8693,171.7554,159.818,200.488,807.728,739.228,0.00052297
37312,1754700655,14.45532993,0.001866,74.0301,78.702,215.3061,144.6862,753.561,726.995,0.00035871
37316,1754742239,14.86757612,0.0042089,74.021,271.941,17.8801,342.3848,637.481,578.672,0.0023302
37320,1754694162,14.76465923,0.0050539,74.0471,104.7996,225.9488,133.752,675.975,605.032,0.00060713
37326,1754633604,14.60609912,0.0057969,74.0234,216.6225,15.0471,345.2402,732.188,650.227,0.00043181
37330,1754578549,14.58976123,0.0057068,74.0174,177.6407,55.3606,305.292,736.857,656.11,0.00030899
37331,1754744346,14.344985,0.0058243,74.0753,296.711,343.2304,16.692,818.408,735.063,0.00035498
37336,1754548566,14.32686731,0.00308682,74.0394,203.8935,312.7953,47.0603,804.871,760.662,5.7196997e-05
37340,1754486013,14.36723156,0.00196242,74.0256,152.9527,281.6505,78.2446,783.374,755.321,0.00013603533
37347,1754737184,12.89664881,0.1317985,50.3093,183.1875,200.1578,154.2184,2315.199,290.513,0.00098476
37379,1754731663,13.52397197,0.0115113,66.1153,196.6582,251.4399,264.9468,1149.116,977.791,0.0087167
37400,1754508450,13.6341862,0.0403092,98.8548,67.4039,111.5298,252.9311,1321.642,724.95,0.00038344362
37404,1754522347,14.30974349,0.0044768,98.4519,225.2243,179.4542,213.3352,820.561,756.394,0.00050615
37406,1754736379,14.03726942,0.0148807,98.4561,102.2951,260.9534,279.2065,988.94,772.9,0.00040964
37415,1754535327,13.51984272,0.0286036,98.9716,338.9369,148.0849,213.7977,1277.868,852.069,0.00031019
37417,1754461732,14.07198915,0.0078097,98.7882,214.5107,262.3333,96.8962,925.573,812.377,0.00029868
37418,1754742401,11.94531234,0.1062001,98.6109,155.5229,207.1806,146.9625,2563.917,846.964,0.00040517
37420,1753767047,13.99547758,0.0071914,98.8499,204.625,293.9533,65.4112,947.67,843.057,0.00014219
37421,1754730433,13.40374163,0.0409766,98.8659,191.175,40.8004,322.3059,1414.64,801.136,0.00054314
37423,1754254818,14.07128343,0.004963,98.7994,269.6464,166.787,193.4611,905.186,833.249,0.00061293
37424,1754709261,14.16974422,0.0216377,97.185,13.3578,298.0002,59.9435,991.694,679.517,0.00048665
37427,1754665085,14.95395795,0.0195769,98.608,349.6734,350.1386,9.6012,717.388,444.905,0.00022612
37428,1754732146,14.32935947,0.0058655,97.7367,97.3464,117.924,242.7902,823.933,739.939,0.0014714
37429,1753894194,14.09329674,0.0104534,98.6302,207.4628,22.9348,337.6442,937.349,785.988,0.0005401
37430,1754561832,14.27512756,0.00201711,98.7742,292.9948,82.4855,277.8616,814.538,785.58,0.0010983544
37432,1754680716,14.52189395,0.0185249,98.1908,236.9851,316.7056,41.9707,849.973,587.044,0.00068232
37435,1754684402,14.2164725,0.0041269,98.6595,259.5277,20.3007,339.98,849.494,790.084,0.00083241
37436,1754560977,14.0605322,0.0060442,98.9564,275.4359,143.7624,216.7661,916.738,829.084,0.00031172
37437,1754720232,14.18489797,0.0114098,98.5774,217.14,51.0067,325.1689,912.715,748.218,0.00047248
37438,1754211245,14.15101732,0.0027203,98.7532,256.8447,233.0669,126.8013,861.609,822.327,0.0005125
37441,1754430447,13.13946024,0.0512253,99.1626,81.8279,2.3698,357.9678,1596.533,819.336,0.00099003
37444,1754214694,14.4666645,0.0249878,99.0957,286.1388,20.6269,340.4795,914.34,558.779,0.0005328
37448,1754344068,13.86203612,0.0309935,99.3324,281.7353,46.7508,315.9075,1168.843,715.092,0.0010766
37460,1754648460,14.45321877,0.0057714,98.3785,37.6822,315.0406,44.6119,782.058,699.884,0.0009966
37461,1754216780,12.78574028,0.0659558,99.8703,119.3515,255.8621,96.8365,1856.742,837.679,0.00049386
37464,1754348963,13.45969778,0.0463555,102.7086,106.2052,41.624,321.9212,1433.181,741.07,0.0026532
37470,1754712885,14.84621592,0.0009312,98.6707,352.2007,158.8423,201.3176,621.288,608.264,0.0042299
37474,1754633394,14.71683512,0.0140416,99.1769,49.01,167.0327,193.4548,754.467,556.934,0.0012093
37476,1754520377,11.90760926,0.1079068,98.96,282.8429,114.0007,257.7712,2596.608,848.382,0.0036717
